,Student Vote,Teacher Vote,Cat in Box,Signed?
,33,58,1,FALSE
,38,17,5,TRUE
,16,23,6,TRUE
,66,58,7,FALSE
,65,33,8,TRUE
,48,55,9,FALSE
,48,69,10,TRUE
,67,58,11,TRUE
,39,25,12,TRUE
,79,37,13,TRUE
,21,37,14,TRUE
,57,25,15,TRUE
,14,25,16,FALSE
,55,33,17,TRUE
,55,25,18,TRUE
,24,16,19,FALSE
,7,10,20,TRUE
,7,25,21,FALSE
,7,21,22,TRUE
,10,37,23,TRUE
,10,58,25,TRUE
,12,62,26,FALSE
,1,25,29,TRUE
,1,58,30,FALSE
,20,46,31,FALSE
,29,25,32,TRUE
,29,25,33,TRUE
,29,58,34,TRUE
,29,17,35,FALSE
,29,,36,FALSE
,43,,37,TRUE
,43,,38,TRUE
,43,,39,FALSE
,43,,40,FALSE
,61,,41,FALSE
,61,,42,FALSE
,13,,43,TRUE
,49,,45,FALSE
,59,,46,FALSE
,5,,47,TRUE
,6,,48,FALSE
,6,,49,TRUE
,47,,50,FALSE
,73,,55,TRUE
,46,,57,TRUE
,34,,58,FALSE
,34,,59,FALSE
,34,,60,FALSE
,34,,61,TRUE
,34,,62,FALSE
,23,,63,TRUE
,23,,64,TRUE
,23,,65,FALSE
,23,,66,TRUE
,23,,67,TRUE
,23,,68,FALSE
,23,,69,TRUE
,23,,72,TRUE
,23,,73,FALSE
,58,,,
,58,,,
,58,,,
,58,,,
,58,,,
,58,,,
,58,,,
,58,,,
,58,,,
,35,,,
,17,,,
,30,,,
,30,,,
,30,,,
,69,,,
,69,,,
,69,,,
,25,,,
,25,,,
,25,,,
,25,,,
